107-06-09    11:13                                            Page      1.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
 _  TA203D1  PKGE       315    .00%    .00% 00:00.191478 00:00.029470        795
 _  PE510D1  PKGE       516    .00%    .00% 00:00.031313 00:00.029107        414
 _  EESR007R PKGE       542    .00%    .00% 00:00.192361 00:00.028976        504
 _  EC508D2  PKGE       339    .01%    .00% 00:00.357167 00:00.027876        327
 _  PR535D1  PKGE       174    .00%    .00% 00:00.055741 00:00.027794        375
 _  EC520D2  PKGE       328    .00%    .00% 00:00.129224 00:00.027697        311
 _  PR521D2  PKGE      1238    .00%    .00% 00:00.050225 00:00.027642        392
 _  OR560D2  PKGE       425    .00%    .00% 00:00.071520 00:00.027601        404
 _  OR522D1  PKGE       127    .00%    .00% 00:00.224790 00:00.027347        412
 _  PR567D2  PKGE       316    .00%    .00% 00:00.069375 00:00.026909        384
 _  EC514D1  PKGE       219    .00%    .00% 00:00.210198 00:00.026464        505
 _  TA134D2  PKGE      2118    .01%    .00% 00:00.277995 00:00.026081         90
 _  PR528D1  PKGE       120    .00%    .00% 00:00.213863 00:00.025651        453
 _  PR518D1  PKGE       295    .00%    .00% 00:00.071399 00:00.025546        575
 _  PR589D2  PKGE        70    .02%    .00% 00:00.575566 00:00.025017        385
 _  PR529D2  PKGE       241    .03%    .00% 00:00.885355 00:00.024735        707
 _  PR562D1  PKGE       207    .01%    .00% 00:00.425352 00:00.024437        951
 _  TA131D1  PKGE      1029    .00%    .00% 00:00.043406 00:00.024194        444
 _  TA303D2  PKGE       430    .00%    .00% 00:00.036504 00:00.024051        342
 _  SSR0030R PKGE       244    .00%    .00% 00:00.209052 00:00.023865        550
 _  EC504D2  PKGE      1182    .00%    .00% 00:00.026063 00:00.023553        132
 _  SNR9050M PKGE       370    .00%    .00% 00:00.025035 00:00.023414        481
 _  PR530D1  PKGE       135    .01%    .00% 00:00.273236 00:00.023182        429
 _  TA126R3  PKGE       495    .00%    .00% 00:00.083029 00:00.022332        285
 _  TA211D1  PKGE       228    .00%    .00% 00:00.023316 00:00.022188        456
 _  TA123D1  PKGE       483    .00%    .00% 00:00.028865 00:00.021933        309
 _  EC515D1  PKGE       249    .00%    .00% 00:00.022398 00:00.021254        332
 _  TA283D1  PKGE       225    .00%    .00% 00:00.022038 00:00.020964        438
 _  TA056R1  PKGE       150    .00%    .00% 00:00.065531 00:00.020794        294
 _  TA302D2  PKGE       121    .03%    .00% 00:00.796867 00:00.020763        474
 _  REMK650R PKGE       244    .00%    .00% 00:00.222177 00:00.020263        421
 _  OR523D3  PKGE       251    .00%    .00% 00:00.022593 00:00.020247        378
 _  GD515D1  PKGE       322    .00%    .00% 00:00.028140 00:00.020162        532
 _  AL504D1  PKGE       135    .01%    .00% 00:00.358087 00:00.019970        925
 _  OR545D2  PKGE       395    .00%    .00% 00:00.094547 00:00.019967        316
 _  PR537D2  PKGE       393    .00%    .00% 00:00.021664 00:00.019898        262
 _  NM170D1  PKGE       159    .00%    .00% 00:00.020519 00:00.019717        106
 _  EESP030R PKGE       172    .02%    .00% 00:00.504994 00:00.019707        520
 _  TA210D1  PKGE       228    .00%    .00% 00:00.046853 00:00.019431        152
 _  TA207D1  PKGE       294    .00%    .00% 00:00.020975 00:00.019362        196
 _  EC505D3  PKGE        87    .00%    .00% 00:00.021320 00:00.019218        319
 _  TA189R3  PKGE       297    .00%    .00% 00:00.020619 00:00.019043        270
 _  EC522D1  PKGE       213    .00%    .00% 00:00.021419 00:00.018981        459
 _  TA370D1  PKGE       270    .00%    .00% 00:00.019900 00:00.018833        500
 _  SN81A01  PKGE       378    .00%    .00% 00:00.205076 00:00.018742        338
 _  TA204D1  PKGE       165    .00%    .00% 00:00.019942 00:00.018597        495
 _  EC514D3  PKGE       169    .00%    .00% 00:00.083858 00:00.018549        370
 _  TA134D1  PKGE       159    .00%    .00% 00:00.032164 00:00.018475        585
 _  IN34A    PKGE       173    .01%    .00% 00:00.348420 00:00.018223        321
 _  TA004D1  PKGE       273    .00%    .00% 00:00.025555 00:00.018158        192
 _  IN35A    PKGE       362    .01%    .00% 00:00.265186 00:00.018138        198
 _  PP22A    PKGE        25    .00%    .00% 00:00.079656 00:00.018000        192
107-06-09    11:13                                            Page      8.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  SS894A   PKGE       160    .01%    .00% 00:00.325732 00:00.017797        463
 _  OR528D1  PKGE        98    .00%    .00% 00:00.018490 00:00.017589        196
 _  MK005R9  PKGE       195    .00%    .00% 00:00.058250 00:00.017574        260
 _  TA124R3  PKGE       297    .00%    .00% 00:00.017732 00:00.017246        270
 _  PR541D1  PKGE       220    .00%    .00% 00:00.110246 00:00.017233        215
 _  PR527D2  PKGE       252    .00%    .00% 00:00.021292 00:00.016806        192
 _  AE503D3  PKGE       228    .00%    .00% 00:00.043786 00:00.016779        280
 _  AL505D1  PKGE       135    .00%    .00% 00:00.017181 00:00.016728        294
 _  EC569D1  PKGE       195    .01%    .00% 00:00.235002 00:00.016634        403
 _  OR547D1  PKGE        68    .00%    .00% 00:00.052403 00:00.016537        554
 _  EC505D1  PKGE       153    .01%    .00% 00:00.305685 00:00.016358        203
 _  IC504D3  PKGE        69    .00%    .00% 00:00.128337 00:00.016224        299
 _  EESP040R PKGE       101    .00%    .00% 00:00.073919 00:00.016214        283
 _  TA145D1  PKGE       417    .00%    .00% 00:00.016292 00:00.015964        302
 _  PR508D2  PKGE       351    .00%    .00% 00:00.035747 00:00.015907        222
 _  REMO225R PKGE        77    .00%    .00% 00:00.048798 00:00.015865        408
 _  TA019R1  PKGE       252    .00%    .00% 00:00.041370 00:00.015756        486
 _  EC509D1  PKGE       165    .01%    .00% 00:00.258868 00:00.015730        257
 _  PR572D1  PKGE       117    .00%    .00% 00:00.053659 00:00.015323        272
 _  TA241D1  PKGE       186    .00%    .00% 00:00.015917 00:00.014915        186
 _  GD537D2  PKGE       466    .00%    .00% 00:00.080771 00:00.014883        218
 _  SNST335R PKGE       585    .00%    .00% 00:00.015366 00:00.014883        125
 _  OR520D1  PKGE       231    .00%    .00% 00:00.041842 00:00.014864        248
 _  TA088D1  PKGE       285    .00%    .00% 00:00.015936 00:00.014841        252
 _  IC505D3  PKGE        63    .00%    .00% 00:00.182222 00:00.014658        491
 _  EN105R1  PKGE       112    .00%    .00% 00:00.028805 00:00.014571        112
 _  PR540D2  PKGE       300    .00%    .00% 00:00.015295 00:00.014463        200
 _  AL510D3  PKGE       202    .00%    .00% 00:00.071418 00:00.014452        207
 _  SR500D2  PKGE       475    .00%    .00% 00:00.121196 00:00.014401        193
 _  OR528D2  PKGE       150    .00%    .00% 00:00.015629 00:00.013942        100
 _  AL513D3  PKGE       202    .00%    .00% 00:00.031633 00:00.013501        256
 _  PR567D1  PKGE        96    .00%    .00% 00:00.048350 00:00.013393        346
 _  TA220D2  PKGE       252    .00%    .00% 00:00.013768 00:00.013337        108
 _  PR554D2  PKGE       186    .00%    .00% 00:00.013974 00:00.013321        173
 _  SS891A   PKGE        80    .01%    .00% 00:00.235785 00:00.013259        141
 _  OR548D1  PKGE        54    .00%    .00% 00:00.013903 00:00.013154        108
 _  AP130R1  PKGE       213    .01%    .00% 00:00.282493 00:00.012740        266
 _  PR563D1  PKGE        87    .00%    .00% 00:00.013058 00:00.012492        123
 _  PR542D1  PKGE        63    .00%    .00% 00:00.051040 00:00.012356        133
 _  TA075D1  PKGE       426    .00%    .00% 00:00.038830 00:00.012174        154
 _  TA238D1  PKGE       222    .00%    .00% 00:00.013315 00:00.012094        222
 _  OR540D2  PKGE       473    .00%    .00% 00:00.016099 00:00.012058        283
 _  PR549D2  PKGE       144    .00%    .00% 00:00.012553 00:00.011854         96
 _  TA202D1  PKGE       180    .00%    .00% 00:00.032711 00:00.011802        205
 _  AD10A    PKGE       172    .00%    .00% 00:00.040421 00:00.011785        170
 _  SN85A01  PKGE       336    .00%    .00% 00:00.050757 00:00.011391        251
 _  EC554D1  PKGE       135    .00%    .00% 00:00.047696 00:00.011326        180
 _  PR508D1  PKGE        43    .00%    .00% 00:00.059730 00:00.011122        245
 _  MK008R1  PKGE        82    .00%    .00% 00:00.064381 00:00.011097        168
 _  TA277R3  PKGE       204    .00%    .00% 00:00.011415 00:00.011082        204
 _  TA030R3  PKGE       207    .00%    .00% 00:00.011454 00:00.011062        168
 _  AL514D2  PKGE       150    .00%    .00% 00:00.011601 00:00.010964        202
107-06-09    11:13                                            Page      9.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  TA217R3  PKGE       198    .00%    .00% 00:00.011874 00:00.010897        189
 _  EA500D1  PKGE       109    .00%    .00% 00:00.012550 00:00.010884         94
 _  AU53A    PKGE       206    .00%    .00% 00:00.018311 00:00.010865        249
 _  OR558D1  PKGE       432    .00%    .00% 00:00.011154 00:00.010706        118
 _  PR561D2  PKGE       238    .00%    .00% 00:00.012489 00:00.010256        259
 _  UR997A   PKGE        57    .00%    .00% 00:00.105971 00:00.010217        108
 _  PR560D1  PKGE        43    .00%    .00% 00:00.079853 00:00.010193        129
 _  OR561D2  PKGE       150    .00%    .00% 00:00.010448 00:00.009777        150
 _  RE79A    PKGE       130    .00%    .00% 00:00.080251 00:00.009753        275
 _  SNST072L PKGE       213    .00%    .00% 00:00.011006 00:00.009705        353
 _  SN180A   PKGE        78    .01%    .00% 00:00.329670 00:00.009523        168
 _  PR536D2  PKGE       141    .00%    .00% 00:00.009932 00:00.009456         94
 _  OR541D2  PKGE       150    .00%    .00% 00:00.009897 00:00.009428        100
 _  GD529D2  PKGE        96    .00%    .00% 00:00.098487 00:00.009385        493
 _  OR538D1  PKGE        98    .00%    .00% 00:00.009668 00:00.009199         98
 _  OR543D1  PKGE       150    .00%    .00% 00:00.111716 00:00.009197        100
 _  PR520D2  PKGE       141    .00%    .00% 00:00.009407 00:00.008852         94
 _  EC512D1  PKGE        72    .00%    .00% 00:00.040280 00:00.008804         78
 _  SN36A01  PKGE       100    .00%    .00% 00:00.046860 00:00.008794        160
 _  OR539D1  PKGE        98    .00%    .00% 00:00.009203 00:00.008658         98
 _  REMC800R PKGE        42    .00%    .00% 00:00.034414 00:00.008488        142
 _  TA184D1  PKGE       129    .00%    .00% 00:00.043205 00:00.008369        128
 _  GD500D1  PKGE       111    .00%    .00% 00:00.045450 00:00.008327        143
 _  RE84A    PKGE       125    .00%    .00% 00:00.031908 00:00.008307        171
 _  SE03A    PKGE        71    .00%    .00% 00:00.175643 00:00.008290        150
 _  OR559D1  PKGE       150    .00%    .00% 00:00.008871 00:00.008154        100
 _  PR575D2  PKGE       114    .00%    .00% 00:00.008497 00:00.008091         76
 _  SP020D1  PKGE        84    .00%    .00% 00:00.010358 00:00.008062         84
 _  SN79A01  PKGE        81    .00%    .00% 00:00.105792 00:00.007996        132
 _  TA260D1  PKGE        84    .00%    .00% 00:00.100186 00:00.007992        140
 _  SNST334R PKGE        22    .00%    .00% 00:00.029012 00:00.007894        133
 _  MK005R5  PKGE       210    .00%    .00% 00:00.007917 00:00.007719        226
 _  AU58A    PKGE       115    .00%    .00% 00:00.117788 00:00.007677        131
 _  EA551D1  PKGE        37    .00%    .00% 00:00.157678 00:00.007537        100
 _  TA339R1  PKGE       154    .00%    .00% 00:00.116595 00:00.007425         63
 _  PR573D1  PKGE        32    .00%    .00% 00:00.043713 00:00.007415        146
 _  AU99A    PKGE       127    .00%    .00% 00:00.007619 00:00.007333        130
 _  TA297D1  PKGE       189    .01%    .00% 00:00.245549 00:00.007083         69
 _  MK005A   PKGE        40    .00%    .00% 00:00.008663 00:00.007024         34
 _  AP115R1  PKGE        74    .00%    .00% 00:00.053906 00:00.006755        179
 _  SN147A1  PKGE        23    .00%    .00% 00:00.144147 00:00.006705         87
 _  MK005R4  PKGE       118    .00%    .00% 00:00.163181 00:00.006628        128
 _  AP110R1  PKGE        76    .01%    .00% 00:00.399544 00:00.006594        126
 _  IC514D1  PKGE       237    .00%    .00% 00:00.116883 00:00.006553         79
 _  SSR0205L PKGE        33    .00%    .00% 00:00.122520 00:00.006541        153
 _  EC518D1  PKGE        54    .00%    .00% 00:00.006725 00:00.006537         72
 _  PR593D1  PKGE        31    .00%    .00% 00:00.122946 00:00.006501        124
 _  SP010D1  PKGE        84    .00%    .00% 00:00.044394 00:00.006491         85
 _  SSR0031R PKGE        48    .00%    .00% 00:00.006788 00:00.006469        144
 _  PE500D1  PKGE       117    .00%    .00% 00:00.048598 00:00.006460        100
 _  TA105D1  PKGE        99    .00%    .00% 00:00.031783 00:00.006326         99
 _  AL510D2  PKGE        30    .00%    .00% 00:00.006907 00:00.006217        225
107-06-09    11:13                                            Page     10.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  PR559D1  PKGE        33    .00%    .00% 00:00.204359 00:00.006003        123
 _  PR562D2  PKGE       175    .00%    .00% 00:00.006853 00:00.005980        164
 _  TA140D1  PKGE        78    .00%    .00% 00:00.080983 00:00.005947         78
 _  AL517D1  PKGE        30    .00%    .00% 00:00.006881 00:00.005861        121
 _  SSR0050R PKGE        40    .00%    .00% 00:00.188628 00:00.005843         92
 _  TA095R1  PKGE        45    .00%    .00% 00:00.006456 00:00.005675        172
 _  PR507D1  PKGE        19    .00%    .00% 00:00.012806 00:00.005660         38
 _  PR506D1  PKGE        68    .00%    .00% 00:00.048759 00:00.005651         63
 _  PR579D2  PKGE        92    .00%    .00% 00:00.016589 00:00.005637         84
 _  SR501D1  PKGE        69    .00%    .00% 00:00.010727 00:00.005589         69
 _  PR551D1  PKGE        27    .00%    .00% 00:00.044110 00:00.005572         81
 _  TA030D1  PKGE        60    .01%    .00% 00:00.320941 00:00.005568        120
 _  EC504D1  PKGE        84    .00%    .00% 00:00.005860 00:00.005547         84
 _  SN181A   PKGE       143    .00%    .00% 00:00.145412 00:00.005472         80
 _  PR581D1  PKGE        48    .00%    .00% 00:00.044121 00:00.005298         98
 _  GD519D1  PKGE        48    .00%    .00% 00:00.024457 00:00.005286        271
 _  PR577D1  PKGE        63    .00%    .00% 00:00.029382 00:00.005285         63
 _  EC504D3  PKGE        66    .00%    .00% 00:00.082671 00:00.005235         82
 _  GD527D1  PKGE        10    .00%    .00% 00:00.152401 00:00.005151         56
 _  TA291D1  PKGE        57    .00%    .00% 00:00.005387 00:00.005116        114
 _  GD520D1  PKGE       100    .00%    .00% 00:00.030284 00:00.005110        198
 _  SA495A   PKGE        36    .00%    .00% 00:00.005238 00:00.005055         24
 _  EC507D2  PKGE        39    .00%    .00% 00:00.055121 00:00.005054         39
 _  ML035R1  PKGE       123    .00%    .00% 00:00.005367 00:00.004963        136
 _  EESR056R PKGE        48    .00%    .00% 00:00.072041 00:00.004955         96
 _  TA052D2  PKGE       216    .00%    .00% 00:00.006381 00:00.004922         16
 _  PR559D2  PKGE        70    .00%    .00% 00:00.040929 00:00.004910         70
 _  PR583D1  PKGE       120    .00%    .00% 00:00.007034 00:00.004850         57
 _  REMK631R PKGE        25    .00%    .00% 00:00.062927 00:00.004826         73
 _  AC001B1  PKGE        36    .00%    .00% 00:00.005141 00:00.004821         36
 _  WPW020A  PKGE        21    .01%    .00% 00:00.278553 00:00.004820         60
 _  PR563D2  PKGE        57    .00%    .00% 00:00.005134 00:00.004790         57
 _  TA166D1  PKGE       105    .01%    .00% 00:00.353207 00:00.004762         63
 _  SS916A   PKGE        40    .00%    .00% 00:00.134506 00:00.004722         65
 _  PR536D1  PKGE        23    .00%    .00% 00:00.041184 00:00.004676         46
 _  IC503D1  PKGE        12    .00%    .00% 00:00.070970 00:00.004611         66
 _  IN62A    PKGE        52    .00%    .00% 00:00.098139 00:00.004536         76
 _  AP116R1  PKGE        48    .00%    .00% 00:00.033802 00:00.004410         81
 _  AU54A    PKGE        52    .00%    .00% 00:00.004708 00:00.004391         78
 _  SN61A01  PKGE        44    .00%    .00% 00:00.004778 00:00.004388         68
 _  TA298D2  PKGE       178    .00%    .00% 00:00.004500 00:00.004386         59
 _  CR31A    PKGE        21    .02%    .00% 00:00.501907 00:00.004304         33
 _  GD522D1  PKGE        12    .00%    .00% 00:00.099479 00:00.004287         81
 _  PR540D1  PKGE        18    .00%    .00% 00:00.004648 00:00.004222         36
 _  GD530D1  PKGE        35    .00%    .00% 00:00.014975 00:00.004186         54
 _  TA137D1  PKGE        54    .00%    .00% 00:00.025484 00:00.004097         72
 _  REMK630R PKGE        26    .00%    .00% 00:00.030558 00:00.004083         74
 _  AL050B1  PKGE        66    .00%    .00% 00:00.083525 00:00.004068         68
 _  EC522D2  PKGE        54    .00%    .00% 00:00.004184 00:00.004054        124
 _  CTSB765L PKGE       105    .02%    .00% 00:00.565949 00:00.004034         48
 _  TA101R1  PKGE       257    .00%    .00% 00:00.004339 00:00.004030         40
 _  PR510D1  PKGE        19    .00%    .00% 00:00.004476 00:00.004023         38
107-06-09    11:13                                            Page     11.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  TA111R1  PKGE        24    .00%    .00% 00:00.005417 00:00.003912         98
 _  GD501D1  PKGE        18    .00%    .00% 00:00.003996 00:00.003873         48
 _  SQL01895 PROC        62    .00%    .00% 00:00.014447 00:00.003824         80
 _  EC517D1  PKGE        66    .00%    .00% 00:00.036166 00:00.003768         38
 _  EESR003R PKGE        65    .00%    .00% 00:00.005285 00:00.003739         83
 _  IC510D1  PKGE        48    .00%    .00% 00:00.055122 00:00.003722         44
 _  SS000A   PKGE        36    .00%    .00% 00:00.003864 00:00.003680         36
 _  PR503D1  PKGE        19    .00%    .00% 00:00.003751 00:00.003657         38
 _  AC101A   PKGE        36    .00%    .00% 00:00.003710 00:00.003602         57
 _  PWR0004L PKGE        32    .00%    .00% 00:00.012228 00:00.003601         69
 _  EA504D1  PKGE        12    .00%    .00% 00:00.036962 00:00.003513         45
 _  EA523D1  PKGE        18    .00%    .00% 00:00.013242 00:00.003503         38
 _  GD518D1  PKGE        26    .00%    .00% 00:00.018659 00:00.003499         91
 _  SN36A02  PKGE        19    .00%    .00% 00:00.107902 00:00.003487         63
 _  EA510D1  PKGE        13    .00%    .00% 00:00.027868 00:00.003470         46
 _  GD502D1  PKGE        19    .00%    .00% 00:00.034656 00:00.003420        112
 _  UR015A   PKGE         6    .01%    .00% 00:00.340296 00:00.003377         34
 _  MK007R1  PKGE         8    .00%    .00% 00:00.065782 00:00.003335        109
 _  IC503D2  PKGE        38    .00%    .00% 00:00.004143 00:00.003320         41
 _  TA240D1  PKGE        24    .00%    .00% 00:00.008896 00:00.003262         72
 _  GD506D1  PKGE        16    .00%    .00% 00:00.008052 00:00.003258         44
 _  OR506D2  PKGE        72    .00%    .00% 00:00.003191 00:00.003177         68
 _  MK006R1  PKGE        22    .00%    .00% 00:00.042020 00:00.003124         78
 _  SSR0051R PKGE        16    .00%    .00% 00:00.056220 00:00.003099         72
 _  PR545D2  PKGE        19    .00%    .00% 00:00.003335 00:00.003031         89
 _  SNA9020R PKGE        33    .00%    .00% 00:00.003140 00:00.003028         44
 _  SN296A   PKGE        54    .00%    .00% 00:00.048237 00:00.002994         69
 _  AP090R1  PKGE        54    .00%    .00% 00:00.015986 00:00.002990         59
 _  SSR776L  PKGE        20    .00%    .00% 00:00.053043 00:00.002963         67
 _  PR579D1  PKGE        16    .00%    .00% 00:00.032071 00:00.002944         74
 _  GD524D1  PKGE         6    .00%    .00% 00:00.071743 00:00.002941         38
 _  PR575D1  PKGE        17    .00%    .00% 00:00.003135 00:00.002912         34
 _  EA511D1  PKGE        13    .00%    .00% 00:00.008598 00:00.002907         36
 _  SA009A   PKGE        39    .00%    .00% 00:00.003104 00:00.002874         85
 _  SS896A   PKGE        15    .00%    .00% 00:00.079547 00:00.002868         47
 _  PR558D1  PKGE        28    .00%    .00% 00:00.043896 00:00.002842         22
 _  RE78A    PKGE         9    .00%    .00% 00:00.178834 00:00.002793         35
 _  EA535D1  PKGE        21    .00%    .00% 00:00.004616 00:00.002770         46
 _  RE73A    PKGE        33    .00%    .00% 00:00.030702 00:00.002719         65
 _  SN60A01  PKGE        18    .00%    .00% 00:00.019127 00:00.002691         18
 _  TA268D1  PKGE        42    .00%    .00% 00:00.002732 00:00.002676         42
 _  PR589D3  PKGE        16    .00%    .00% 00:00.002936 00:00.002651         44
 _  EN011B4  PKGE        32    .00%    .00% 00:00.002921 00:00.002636         16
 _  TGRONB01 TRIG         9    .00%    .00% 00:00.022291 00:00.002625         44
 _  EA512D1  PKGE        10    .00%    .00% 00:00.010099 00:00.002541         35
 _  IN13A    PKGE        16    .00%    .00% 00:00.032579 00:00.002490         40
 _  GD516D1  PKGE        10    .00%    .00% 00:00.045064 00:00.002473         51
 _  SNST083L PKGE        75    .00%    .00% 00:00.002564 00:00.002472         53
 _  RER0121R PKGE        52    .00%    .00% 00:00.002529 00:00.002461         36
 _  TA350D1  PKGE        69    .00%    .00% 00:00.021122 00:00.002444         46
 _  PR549D1  PKGE        10    .00%    .00% 00:00.002530 00:00.002351         20
 _  REPA2001 PKGE        33    .00%    .00% 00:00.002382 00:00.002316         34
107-06-09    11:13                                            Page     12.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  PR592D1  PKGE        18    .00%    .00% 00:00.019393 00:00.002290         12
 _  SNR0030R PKGE         3    .00%    .00% 00:00.003506 00:00.002273         48
 _  EESR017R PKGE         2    .00%    .00% 00:00.036140 00:00.002263         10
 _  EA500D3  PKGE         4    .00%    .00% 00:00.004770 00:00.002258         32
 _  RER0120R PKGE        12    .00%    .00% 00:00.031269 00:00.002234         36
 _  EA507D1  PKGE         4    .00%    .00% 00:00.097141 00:00.002194         28
 _  PR505D5  PKGE        14    .00%    .00% 00:00.002357 00:00.002183         72
 _  EESR029R PKGE         7    .00%    .00% 00:00.044971 00:00.002133         28
 _  SN37A01  PKGE        15    .00%    .00% 00:00.118925 00:00.002128         23
 _  SNA9020L PKGE        30    .00%    .00% 00:00.002169 00:00.002112         40
 _  EESR058R PKGE         8    .00%    .00% 00:00.084945 00:00.002069         40
 _  EC503D1  PKGE        24    .00%    .00% 00:00.003174 00:00.002066         30
 _  SNR9052R PKGE        26    .00%    .00% 00:00.002492 00:00.002054         38
 _  TA249D1  PKGE        24    .00%    .00% 00:00.002244 00:00.002031         44
 _  PR583D2  PKGE        21    .00%    .00% 00:00.002064 00:00.001997         18
 _  EA513D1  PKGE         5    .00%    .00% 00:00.005032 00:00.001993         22
 _  SS893A   PKGE        39    .00%    .00% 00:00.068578 00:00.001963         26
 _  TA019R3  PKGE        33    .00%    .00% 00:00.001993 00:00.001957         33
 _  PR520D1  PKGE         9    .00%    .00% 00:00.002022 00:00.001917         18
 _  TA196D1  PKGE        24    .00%    .00% 00:00.001972 00:00.001905         24
 _  PR551D2  PKGE        30    .00%    .00% 00:00.002122 00:00.001903         30
 _  AP140R1  PKGE        16    .00%    .00% 00:00.022086 00:00.001903         35
 _  TA130D1  PKGE        72    .00%    .00% 00:00.010567 00:00.001889          8
 _  EA501D1  PKGE         9    .00%    .00% 00:00.012384 00:00.001849         24
 _  IC512D1  PKGE        48    .00%    .00% 00:00.001898 00:00.001825         18
 _  SS410A   PKGE         7    .00%    .00% 00:00.142218 00:00.001811         19
 _  RE75A    PKGE        27    .00%    .00% 00:00.001969 00:00.001790         40
 _  IC516D1  PKGE        24    .00%    .00% 00:00.001866 00:00.001778         21
 _  EA524D1  PKGE        10    .00%    .00% 00:00.021544 00:00.001773         24
 _  SS080A   PKGE         9    .00%    .00% 00:00.079726 00:00.001769         29
 _  TA016R3  PKGE        33    .00%    .00% 00:00.001760 00:00.001751         30
 _  TA018D1  PKGE        18    .00%    .00% 00:00.002710 00:00.001741         18
 _  EA506D1  PKGE         5    .00%    .00% 00:00.019301 00:00.001733         28
 _  CR32A    PKGE        13    .00%    .00% 00:00.023142 00:00.001704         29
 _  GD509D1  PKGE         8    .00%    .00% 00:00.017773 00:00.001700         64
 _  AM80A    PKGE         6    .00%    .00% 00:00.001722 00:00.001668         21
 _  TA341D1  PKGE        60    .00%    .00% 00:00.002253 00:00.001659          6
 _  EA522D1  PKGE        13    .00%    .00% 00:00.038266 00:00.001657         16
 _  TA117D1  PKGE        15    .00%    .00% 00:00.031116 00:00.001656         26
 _  EESR023R PKGE         6    .00%    .00% 00:00.062129 00:00.001654         34
 _  EA515D1  PKGE         4    .00%    .00% 00:00.010007 00:00.001652         24
 _  IN02A    PKGE        23    .00%    .00% 00:00.012248 00:00.001644         35
 _  EESR055R PKGE         6    .00%    .00% 00:00.110336 00:00.001618         36
 _  EC556D1  PKGE        60    .00%    .00% 00:00.008728 00:00.001613         11
 _  SN424A   PKGE        14    .00%    .00% 00:00.032173 00:00.001564         23
 _  AL518D1  PKGE        30    .00%    .00% 00:00.001621 00:00.001548         20
 _  SNR9054R PKGE        27    .00%    .00% 00:00.001663 00:00.001546         36
 _  IC509D1  PKGE        18    .00%    .00% 00:00.001578 00:00.001525         24
 _  IC513D1  PKGE        21    .00%    .00% 00:00.001556 00:00.001514         17
 _  PR507D2  PKGE        12    .00%    .00% 00:00.002040 00:00.001512          8
 _  AU57A    PKGE         8    .00%    .00% 00:00.002241 00:00.001483         18
 _  VT515D1  PKGE        18    .00%    .00% 00:00.002137 00:00.001437         18
107-06-09    11:13                                            Page     13.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  PR589D1  PKGE         2    .00%    .00% 00:00.007232 00:00.001370         19
 _  GD532D1  PKGE         4    .00%    .00% 00:00.035698 00:00.001370         14
 _  TA089D1  PKGE        21    .00%    .00% 00:00.001406 00:00.001363         21
 _  EESR026R PKGE         2    .00%    .00% 00:00.070253 00:00.001361         18
 _  PR586D2  PKGE        18    .00%    .00% 00:00.009938 00:00.001356         12
 _  AU89A    PKGE        28    .00%    .00% 00:00.001384 00:00.001336         23
 _  EESR019R PKGE        20    .00%    .00% 00:00.001369 00:00.001332         40
 _  SS915A   PKGE         6    .00%    .00% 00:00.034665 00:00.001328          6
 _  PR503D2  PKGE        12    .00%    .00% 00:00.047014 00:00.001311         11
 _  AP030R1  PKGE         6    .00%    .00% 00:00.001408 00:00.001296         31
 _  AC103A   PKGE        24    .00%    .00% 00:00.001401 00:00.001292         20
 _  GD525D1  PKGE         6    .00%    .00% 00:00.015679 00:00.001284         22
 _  GD502D2  PKGE        28    .00%    .00% 00:00.001279 00:00.001263         28
 _  TA340D1  PKGE        21    .00%    .00% 00:00.001283 00:00.001258         21
 _  EESR025R PKGE         2    .00%    .00% 00:00.053559 00:00.001248         18
 _  EESR024R PKGE         2    .00%    .00% 00:00.036678 00:00.001231         18
 _  GD517D1  PKGE         3    .00%    .00% 00:00.019919 00:00.001230         30
 _  TA369R1  PKGE        20    .00%    .00% 00:00.009623 00:00.001221          8
 _  GD504D1  PKGE         4    .00%    .00% 00:00.015100 00:00.001208         27
 _  SNR9050R PKGE        24    .00%    .00% 00:00.001215 00:00.001206         28
 _  RE76A    PKGE        14    .00%    .00% 00:00.011749 00:00.001201         14
